host_s,frame,x_ticks,x_vel_ticks_s,theta_rad,theta_vel_rad_s,u,captured,running,rail_blocked
0.0202,50401,330,0.0,50.2656,0.020,0.0000,0,0,0
0.0202,50402,330,0.0,50.2641,0.010,0.0000,0,0,0
0.0202,50403,330,0.0,50.2656,-0.271,0.0000,0,0,0
0.0202,50404,330,0.0,50.2748,0.286,0.0000,0,0,0
0.0202,52619,330,0.0,50.2671,0.042,0.0000,0,0,0
0.0202,52620,330,0.0,50.2641,-0.017,0.0000,0,0,0
0.0202,52621,330,0.0,50.2717,0.221,0.0000,0,0,0
0.0202,52622,330,0.0,50.2656,0.072,0.0000,0,0,0
0.0202,52623,330,0.0,50.2671,0.036,0.0000,0,0,0
0.0404,52624,330,0.0,50.2610,-0.043,0.0000,0,0,0
0.0404,52625,330,0.0,50.2656,-0.144,0.0000,0,0,0
0.0404,52626,330,0.0,50.2625,-0.133,0.0000,0,0,0
0.0605,52627,330,0.0,50.2625,-0.159,0.0000,0,0,0
0.0605,52628,330,0.0,50.2625,-0.041,0.0000,0,0,0
0.0605,52629,330,0.0,50.2641,-0.059,0.0000,0,0,0
0.0605,52630,330,0.0,50.2656,0.047,0.0000,0,0,0
0.0806,52631,330,0.0,50.2656,0.100,0.0000,0,0,0
0.0806,52632,330,0.0,50.2656,0.127,0.0000,0,0,0
0.0806,52633,330,0.0,50.2641,0.063,0.0000,0,0,0
0.0806,52634,330,0.0,50.2717,0.185,0.0000,0,0,0
0.1008,52635,330,0.0,50.2641,0.054,0.0000,0,0,0
0.1008,52636,330,0.0,50.2779,0.334,0.0000,0,0,0
0.1008,52637,330,0.0,50.2641,0.167,0.0000,0,0,0
0.1008,52638,330,0.0,50.2625,-0.147,0.0000,0,0,0
0.1209,52639,330,0.0,50.2641,-0.073,0.0000,0,0,0
0.1209,52640,330,0.0,50.2641,-0.313,0.0000,0,0,0
0.1209,52641,330,0.0,50.2595,-0.248,0.0000,0,0,0
0.1410,52642,330,0.0,50.2641,-0.094,0.0000,0,0,0
0.1410,52643,330,0.0,50.2687,0.045,0.0000,0,0,0
0.1410,52644,330,0.0,50.2656,0.061,0.0000,0,0,0
0.1410,52645,330,0.0,50.2656,0.184,0.0000,0,0,0
0.1611,52646,330,0.0,50.2641,0.092,0.0000,0,0,0
0.1611,52647,330,0.0,50.2656,-0.031,0.0000,0,0,0
0.1611,52648,330,0.0,50.2656,-0.015,0.0000,0,0,0
0.1611,52649,330,0.0,50.2779,0.299,0.0000,0,0,0
0.1813,52650,330,0.0,50.2656,0.188,0.0000,0,0,0
0.1813,52651,330,0.0,50.2625,0.017,0.0000,0,0,0
0.1813,52652,330,0.0,50.2641,-0.030,0.0000,0,0,0
0.1813,52653,330,0.0,50.2656,-0.322,0.0000,0,0,0
0.2014,52654,330,0.0,50.2641,-0.199,0.0000,0,0,0
0.2014,52655,330,0.0,50.2503,-0.406,0.0000,0,0,0
0.2014,52656,330,0.0,50.2748,0.012,0.0000,0,0,0
0.2215,52657,330,0.0,50.2656,0.006,0.0000,0,0,0
0.2215,52658,330,0.0,50.2671,0.064,0.0000,0,0,0
0.2216,52659,330,0.0,50.2656,0.339,0.0000,0,0,0
0.2216,52660,330,0.0,50.2610,-0.176,0.0000,0,0,0
0.2417,52661,330,0.0,50.2641,-0.126,0.0000,0,0,0
0.2417,52662,330,0.0,50.2748,0.129,0.0000,0,0,0
0.2417,52663,330,0.0,50.2656,0.064,0.0000,0,0,0
0.2417,52664,330,0.0,50.2809,0.531,0.0000,0,0,0
0.2618,52665,330,0.0,50.2656,0.304,0.0000,0,0,0
0.2618,52666,330,0.0,50.2625,-0.155,0.0000,0,0,0
0.2618,52667,330,0.0,50.2641,-0.116,0.0000,0,0,0
0.2618,52668,330,0.0,50.2656,-0.441,0.0000,0,0,0
0.2819,52669,330,0.0,50.2656,-0.221,0.0000,0,0,0
0.2819,52670,330,0.0,50.2472,-0.494,0.0000,0,0,0
0.2820,52671,330,0.0,50.2641,-0.247,0.0000,0,0,0
0.3021,52672,330,0.0,50.2656,-0.123,0.0000,0,0,0
0.3021,52673,330,0.0,50.2656,-0.062,0.0000,0,0,0
0.3021,52674,330,0.0,50.2641,0.307,0.0000,0,0,0
0.3021,52675,330,0.0,50.2641,0.153,0.0000,0,0,0
0.3222,52676,330,0.0,50.2656,0.077,0.0000,0,0,0
0.3222,52677,330,0.0,50.2840,0.498,0.0000,0,0,0
0.3222,52678,330,0.0,50.2641,0.249,0.0000,0,0,0
0.3222,52679,330,0.0,50.2641,0.124,0.0000,0,0,0
0.3424,52680,330,0.0,50.2656,0.062,0.0000,0,0,0
0.3424,52681,330,0.0,50.2625,-0.506,0.0000,0,0,0
0.3424,52682,330,0.0,50.2641,-0.253,0.0000,0,0,0
0.3424,52683,330,0.0,50.2671,-0.050,0.0000,0,0,0
0.3625,52684,330,0.0,50.2656,-0.025,0.0000,0,0,0
0.3625,52685,330,0.0,50.2641,0.026,0.0000,0,0,0
0.3626,52686,330,0.0,50.2641,0.013,0.0000,0,0,0
0.3626,52687,330,0.0,50.2671,0.006,0.0000,0,0,0
0.3827,52688,330,0.0,50.2687,0.065,0.0000,0,0,0
0.3827,52689,330,0.0,50.2656,0.063,0.0000,0,0,0
0.3827,52690,330,0.0,50.2733,0.216,0.0000,0,0,0
0.4028,52691,330,0.0,50.2656,0.077,0.0000,0,0,0
0.4028,52692,330,0.0,50.2717,0.115,0.0000,0,0,0
0.4028,52693,330,0.0,50.2656,0.058,0.0000,0,0,0
0.4028,52694,330,0.0,50.2595,-0.316,0.0000,0,0,0
0.4229,52695,330,0.0,50.2641,-0.197,0.0000,0,0,0
0.4229,52696,330,0.0,50.2671,-0.213,0.0000,0,0,0
