host_s,frame,x_ticks,x_vel_ticks_s,theta_rad,theta_vel_rad_s,u,captured,running,rail_blocked
0.4435,627,0,0.0,-0.0061,0.080,0.0000,0,0,0
0.4636,628,0,0.0,-0.0046,0.002,0.0000,0,0,0
0.4636,629,0,0.0,-0.0046,0.039,0.0000,0,0,0
0.4636,630,0,0.0,-0.0031,0.020,0.0000,0,0,0
0.4636,631,0,0.0,-0.0046,0.048,0.0000,0,0,0
0.4838,632,0,0.0,-0.0031,0.062,0.0000,0,0,0
0.4838,633,0,0.0,-0.0031,0.070,0.0000,0,0,0
0.4838,634,0,0.0,-0.0031,0.035,0.0000,0,0,0
0.4838,635,0,0.0,0.0092,0.363,0.0000,0,0,0
0.5039,636,0,0.0,-0.0046,0.143,0.0000,0,0,0
0.5040,637,0,0.0,-0.0015,0.110,0.0000,0,0,0
0.5040,638,0,0.0,-0.0046,0.017,0.0000,0,0,0
0.5040,639,0,0.0,-0.0169,-0.644,0.0000,0,0,0
0.5241,640,0,0.0,-0.0031,-0.287,0.0000,0,0,0
0.5241,641,0,0.0,0.0000,-0.109,0.0000,0,0,0
0.5242,642,0,0.0,-0.0031,-0.019,0.0000,0,0,0
0.5242,643,0,0.0,-0.0031,0.304,0.0000,0,0,0
0.5443,644,0,0.0,-0.0031,0.152,0.0000,0,0,0
0.5443,645,0,0.0,-0.0061,-0.077,0.0000,0,0,0
0.5443,646,0,0.0,-0.0031,-0.039,0.0000,0,0,0
0.5443,647,0,0.0,-0.0031,-0.019,0.0000,0,0,0
0.5646,648,0,0.0,-0.0046,-0.048,0.0000,0,0,0
0.5646,649,0,0.0,-0.0031,0.053,0.0000,0,0,0
0.5646,650,0,0.0,-0.0061,-0.050,0.0000,0,0,0
0.5646,651,0,0.0,-0.0031,-0.025,0.0000,0,0,0
0.5848,652,0,0.0,-0.0046,-0.013,0.0000,0,0,0
0.5848,653,0,0.0,-0.0077,-0.121,0.0000,0,0,0
0.5848,654,0,0.0,-0.0046,-0.022,0.0000,0,0,0
0.5848,655,0,0.0,-0.0077,-0.126,0.0000,0,0,0
0.6050,656,0,0.0,-0.0046,-0.063,0.0000,0,0,0
0.6050,657,0,0.0,-0.0031,0.073,0.0000,0,0,0
0.6050,658,0,0.0,-0.0046,0.037,0.0000,0,0,0
0.6050,659,0,0.0,-0.0061,0.053,0.0000,0,0,0
0.6252,660,0,0.0,-0.0046,0.027,0.0000,0,0,0
0.6253,661,0,0.0,-0.0031,0.013,0.0000,0,0,0
0.6253,662,0,0.0,-0.0046,0.007,0.0000,0,0,0
0.6253,663,0,0.0,-0.0046,0.042,0.0000,0,0,0
0.6454,664,0,0.0,0.0000,0.136,0.0000,0,0,0
0.6454,665,0,0.0,-0.0046,0.030,0.0000,0,0,0
0.6454,666,0,0.0,-0.0031,0.053,0.0000,0,0,0
0.6455,667,0,0.0,-0.0031,0.065,0.0000,0,0,0
0.6656,668,0,0.0,-0.0092,-0.198,0.0000,0,0,0
0.6656,669,0,0.0,-0.0031,-0.060,0.0000,0,0,0
0.6656,670,0,0.0,0.0000,0.046,0.0000,0,0,0
0.6656,671,0,0.0,-0.0031,0.023,0.0000,0,0,0
0.6857,672,0,0.0,0.0031,0.291,0.0000,0,0,0
0.6858,673,0,0.0,-0.0031,0.145,0.0000,0,0,0
0.6858,674,0,0.0,-0.0046,-0.032,0.0000,0,0,0
0.7059,675,0,0.0,-0.0031,-0.016,0.0000,0,0,0
0.7059,676,0,0.0,-0.0077,-0.276,0.0000,0,0,0
0.7059,677,0,0.0,-0.0046,-0.177,0.0000,0,0,0
0.7059,678,0,0.0,-0.0031,-0.050,0.0000,0,0,0
0.7262,679,0,0.0,-0.0046,-0.063,0.0000,0,0,0
0.7262,680,0,0.0,-0.0046,0.045,0.0000,0,0,0
0.7262,681,0,0.0,-0.0031,0.061,0.0000,0,0,0
0.7262,682,0,0.0,-0.0046,-0.008,0.0000,0,0,0
0.7464,683,0,0.0,-0.0031,0.034,0.0000,0,0,0
0.7464,684,0,0.0,0.0061,0.286,0.0000,0,0,0
0.7464,685,0,0.0,-0.0031,0.143,0.0000,0,0,0
0.7464,686,0,0.0,-0.0031,0.110,0.0000,0,0,0
0.7465,687,0,0.0,-0.0031,0.055,0.0000,0,0,0
0.7666,688,0,0.0,-0.0031,-0.182,0.0000,0,0,0
0.7666,689,0,0.0,-0.0046,-0.126,0.0000,0,0,0
0.7666,690,0,0.0,-0.0015,-0.028,0.0000,0,0,0
0.7867,691,0,0.0,-0.0046,-0.049,0.0000,0,0,0
0.7867,692,0,0.0,-0.0046,-0.063,0.0000,0,0,0
0.7867,693,0,0.0,-0.0015,0.045,0.0000,0,0,0
0.7867,694,0,0.0,-0.0077,-0.131,0.0000,0,0,0
0.8068,695,0,0.0,-0.0031,-0.027,0.0000,0,0,0
0.8068,696,0,0.0,-0.0031,0.025,0.0000,0,0,0
0.8068,697,0,0.0,-0.0061,-0.103,0.0000,0,0,0
0.8069,698,0,0.0,-0.0046,0.025,0.0000,0,0,0
0.8269,699,0,0.0,-0.0031,0.013,0.0000,0,0,0
